Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Джей Ди МакКрэри,15,18/07/2007,,Рак,"Актёр, Войс-актер, Певец","Гранада-Хиллз, Калифорния, США",-,1.6,Львенок Симба (https://www.notion.so/298c10ae8c7580c0ac18e8b130914f65?pvs=21),Король Лев: Новая глава (https://www.notion.so/296c10ae8c7580e7b30bd02fdbd1da0d?pvs=21)
Джон Оливер,60,23/04/1977,,Телец,"Актёр, Войс-актер, Комик, Телеведущий","Бирмингем, Англия, Великобритания",-,1.8,Зазу (https://www.notion.so/298c10ae8c758042aa8fc75f8a17d0db?pvs=21),Король Лев: Новая глава (https://www.notion.so/296c10ae8c7580e7b30bd02fdbd1da0d?pvs=21)
Чиветел Эджиофор,60,10/07/1977,,Рак,"Актёр, Войс-актер, Режиссёр","Лондон, Англия, Великобритания",-,1.78,Лев Шрам (https://www.notion.so/298c10ae8c7580929142ce6cf5d07fb7?pvs=21),Король Лев: Новая глава (https://www.notion.so/296c10ae8c7580e7b30bd02fdbd1da0d?pvs=21)
Мерил Стрип,90,22/06/1949,,Рак,Актриса,"Саммит, Нью-Джерси, США",-,1.68,Ведьма (https://www.notion.so/298c10ae8c758078a373ef632875f5ec?pvs=21),Чем дальше в лес... (https://www.notion.so/296c10ae8c7580a2a45fc861a5361dc0?pvs=21)
Эмили Блант,50,23/02/1983,,Рыбы,Актриса,"Уондсуэрт, Лондон, Англия, Великобритания",-,1.7,Жена Пекаря (https://www.notion.so/298c10ae8c7580d2a1d6f92e762732d6?pvs=21),Чем дальше в лес... (https://www.notion.so/296c10ae8c7580a2a45fc861a5361dc0?pvs=21)
Лилла Кроуфорд,15,23/02/2001,,Рыбы,"Актриса, Певица","Лос-Анджелес, Калифорния, США",-,1.55,Красная Шапочка (https://www.notion.so/298c10ae8c75801598b1ef8d83a4b318?pvs=21),Чем дальше в лес... (https://www.notion.so/296c10ae8c7580a2a45fc861a5361dc0?pvs=21)
Роберт Дауни-младший,90,04/04/1965,,Овен,"Актёр, Продюсер","Манхэттен, Нью-Йорк, США",-,1.74,Тони Старк / Железный человек (https://www.notion.so/298c10ae8c758075b489d5011363fef8?pvs=21),Железный человек (https://www.notion.so/296c10ae8c7580d9a13ec93be2ca9026?pvs=21)
Джефф Бриджес,80,04/12/1949,,Стрелец,"Актёр, Музыкант, Продюсер","Лос-Анджелес, Калифорния, США",-,1.85,Обадайя Стейн / Железный Торговец (https://www.notion.so/298c10ae8c7580db8348de7bb4535f93?pvs=21),Железный человек (https://www.notion.so/296c10ae8c7580d9a13ec93be2ca9026?pvs=21)
Гвинет Пэлтроу,60,27/09/1972,,Весы,"Актриса, Предприниматель","Лос-Анджелес, Калифорния, США",-,1.75,Пеппер Поттс (https://www.notion.so/298c10ae8c7580af9969cfe6865fb2eb?pvs=21),Железный человек (https://www.notion.so/296c10ae8c7580d9a13ec93be2ca9026?pvs=21)
Марк Хэмилл,400,25/09/1951,,Весы,"Актёр, Войс-актер","Окленд, Калифорния, США",-,1.75,Люк Скайуокер (https://www.notion.so/298c10ae8c7580d592e3c6a041c8b8e1?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
Харрисон Форд,80,13/07/1942,,Рак,"Актёр, Продюсер","Чикаго, Иллинойс, США",-,1.85,Хан Соло (https://www.notion.so/298c10ae8c758063ad1bc2b6f46c6451?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
Дэвид Прауз,50,01/07/1935,28/11/2020,Рак,Актёр,"Бристоль, Англия","Лондон, Англия",1.98,Дарт Вейдер (https://www.notion.so/298c10ae8c75808b898eef470ba69ad8?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
Джеймс Эрл Джонс,50,17/01/1931,,Козерог,Войс-актер,"Аркабутла, Миссисипи, США",-,1.68,Дарт Вейдер (https://www.notion.so/298c10ae8c75808b898eef470ba69ad8?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
